screen	kind	x	y	w	h	font	color	fill	text
SERIAL PROTOCOL DECODE	rect	4	338	788	1	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	4	360	788	1	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	4	338	1	22	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	792	338	1	22	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	421	338	1	22	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	660	338	1	22	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	4	0	788	1	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	4	38	788	1	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	4	60	788	1	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	4	0	1	60	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	792	0	1	60	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	83	38	1	22	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	48	64	1	269	1	16777215	2573	
SERIAL PROTOCOL DECODE	rect	440	64	1	269	1	16777215	2573	
SERIAL PROTOCOL DECODE	rect	584	64	1	269	1	16777215	2573	
SERIAL PROTOCOL DECODE	rect	5	1	136	36	1	16777215	-1	
SERIAL PROTOCOL DECODE	rect	71	0	1	38	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	141	0	1	38	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	196	0	1	38	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	303	0	1	38	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	373	0	1	38	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	435	0	1	38	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	523	0	1	38	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	607	0	1	38	1	16777215	4737096	
SERIAL PROTOCOL DECODE	rect	677	0	1	38	1	16777215	4737096	
SERIAL PROTOCOL DECODE	text	8	3	0	0	1	7368816	-1	BAUD
SERIAL PROTOCOL DECODE	text	8	18	0	0	2	4259648	-1	115200
SERIAL PROTOCOL DECODE	text	80	3	0	0	1	7368816	-1	FORMAT
