screen	kind	x	y	w	h	font	color	fill	just	thick	state	text
SERIAL DECODE - 240B FRAME	rect	4	328	788	1	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	4	346	788	1	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	4	328	1	18	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	792	328	1	18	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	462	328	1	18	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	656	328	1	18	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	4	1	788	1	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	4	35	788	1	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	4	51	788	1	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	4	1	1	50	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	792	1	1	50	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	103	35	1	16	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	48	54	1	266	1	2573	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	452	54	1	266	1	2573	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	106	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	179	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	232	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	325	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	408	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	481	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	564	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	627	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	670	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	14	0	0	1	7368816	-1	0	1	enable	BAUD
SERIAL DECODE - 240B FRAME	text	8	32	0	0	2	4259648	-1	0	1	enable	115200
SERIAL DECODE - 240B FRAME	text	115	14	0	0	1	7368816	-1	0	1	enable	FORMAT
SERIAL DECODE - 240B FRAME	text	115	32	0	0	2	4259648	-1	0	1	enable	8N1
SERIAL DECODE - 240B FRAME	text	188	14	0	0	1	7368816	-1	0	1	enable	IDLE
SERIAL DECODE - 240B FRAME	text	188	32	0	0	1	4259648	-1	0	1	enable	HIGH
SERIAL DECODE - 240B FRAME	text	241	14	0	0	1	7368816	-1	0	1	enable	LOGIC
SERIAL DECODE - 240B FRAME	text	241	32	0	0	1	16777215	-1	0	1	enable	3V3 CMOS
SERIAL DECODE - 240B FRAME	text	334	14	0	0	1	7368816	-1	0	1	enable	THRESH
SERIAL DECODE - 240B FRAME	text	334	32	0	0	1	16777215	-1	0	1	enable	1.65 V
SERIAL DECODE - 240B FRAME	text	417	14	0	0	1	7368816	-1	0	1	enable	SA/BIT
SERIAL DECODE - 240B FRAME	text	417	32	0	0	1	16777215	-1	0	1	enable	4.3
SERIAL DECODE - 240B FRAME	text	490	14	0	0	1	7368816	-1	0	1	enable	RATE
SERIAL DECODE - 240B FRAME	text	490	32	0	0	1	16777215	-1	0	1	enable	500 kS/s
SERIAL DECODE - 240B FRAME	text	573	14	0	0	1	7368816	-1	0	1	enable	BYTES
SERIAL DECODE - 240B FRAME	text	573	32	0	0	1	8454016	-1	0	1	enable	--
SERIAL DECODE - 240B FRAME	text	636	14	0	0	1	7368816	-1	0	1	enable	ERR
SERIAL DECODE - 240B FRAME	text	636	32	0	0	1	8454016	-1	0	1	enable	--
SERIAL DECODE - 240B FRAME	text	679	14	0	0	1	7368816	-1	0	1	enable	FIT
SERIAL DECODE - 240B FRAME	text	679	32	0	0	1	11579568	-1	0	1	enable	1.00
SERIAL DECODE - 240B FRAME	rect	97	14	5	1	1	4259648	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	97	15	1	4	1	4259648	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	101	15	1	4	1	4259648	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	95	19	9	7	1	4259648	100	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	48	0	0	1	16776960	-1	0	1	enable	Free run
SERIAL DECODE - 240B FRAME	text	112	48	0	0	1	16760832	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	66	0	0	1	8421504	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	64	66	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	260	66	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	460	66	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	84	0	0	1	8421504	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	64	84	0	0	1	16777215	-1	0	1	enable	
