screen	kind	x	y	w	h	font	color	fill	just	text
SERIAL DECODE	rect	4	328	788	1	1	4737096	100	0	
SERIAL DECODE	rect	4	346	788	1	1	4737096	100	0	
SERIAL DECODE	rect	4	328	1	18	1	4737096	100	0	
SERIAL DECODE	rect	792	328	1	18	1	4737096	100	0	
SERIAL DECODE	rect	462	328	1	18	1	4737096	100	0	
SERIAL DECODE	rect	668	328	1	18	1	4737096	100	0	
SERIAL DECODE	rect	4	1	788	1	1	4737096	100	0	
SERIAL DECODE	rect	4	35	788	1	1	4737096	100	0	
SERIAL DECODE	rect	4	51	788	1	1	4737096	100	0	
SERIAL DECODE	rect	4	1	1	50	1	4737096	100	0	
SERIAL DECODE	rect	792	1	1	50	1	4737096	100	0	
SERIAL DECODE	rect	83	35	1	16	1	4737096	100	0	
SERIAL DECODE	rect	48	54	1	266	1	2573	100	0	
SERIAL DECODE	rect	452	54	1	266	1	2573	100	0	
SERIAL DECODE	rect	106	1	1	34	1	4737096	100	0	
SERIAL DECODE	rect	179	1	1	34	1	4737096	100	0	
SERIAL DECODE	rect	232	1	1	34	1	4737096	100	0	
SERIAL DECODE	rect	325	1	1	34	1	4737096	100	0	
SERIAL DECODE	rect	408	1	1	34	1	4737096	100	0	
SERIAL DECODE	rect	481	1	1	34	1	4737096	100	0	
SERIAL DECODE	rect	564	1	1	34	1	4737096	100	0	
SERIAL DECODE	rect	627	1	1	34	1	4737096	100	0	
SERIAL DECODE	rect	670	1	1	34	1	4737096	100	0	
SERIAL DECODE	text	8	14	0	0	1	7368816	-1	0	BAUD
SERIAL DECODE	text	8	32	0	0	2	56575	-1	0	9600
SERIAL DECODE	text	115	14	0	0	1	7368816	-1	0	FORMAT
SERIAL DECODE	text	115	32	0	0	2	56575	-1	0	8N1
SERIAL DECODE	text	188	14	0	0	1	7368816	-1	0	IDLE
SERIAL DECODE	text	188	32	0	0	1	16777215	-1	0	HIGH
SERIAL DECODE	text	241	14	0	0	1	7368816	-1	0	LOGIC
SERIAL DECODE	text	241	32	0	0	1	16777215	-1	0	3V3 CMOS
SERIAL DECODE	text	334	14	0	0	1	7368816	-1	0	THRESH
SERIAL DECODE	text	334	32	0	0	1	16777215	-1	0	1.65 V
SERIAL DECODE	text	417	14	0	0	1	7368816	-1	0	SA/BIT
SERIAL DECODE	text	417	32	0	0	1	16777215	-1	0	10.4
SERIAL DECODE	text	490	14	0	0	1	7368816	-1	0	RATE
SERIAL DECODE	text	490	32	0	0	1	16777215	-1	0	100 kS/s
SERIAL DECODE	text	573	14	0	0	1	7368816	-1	0	BYTES
SERIAL DECODE	text	573	32	0	0	1	8454016	-1	0	97
SERIAL DECODE	text	636	14	0	0	1	7368816	-1	0	ERR
SERIAL DECODE	text	636	32	0	0	1	8454016	-1	0	0
SERIAL DECODE	text	679	14	0	0	1	7368816	-1	0	FIT
SERIAL DECODE	text	679	32	0	0	1	11579568	-1	0	1.00
SERIAL DECODE	rect	97	14	5	1	1	16760832	100	0	
SERIAL DECODE	rect	97	15	1	4	1	16760832	100	0	
SERIAL DECODE	rect	101	15	1	4	1	16760832	100	0	
