screen	kind	x	y	w	h	font	color	fill	just	thick	state	text
SERIAL DECODE OPTIONS	editopt	270	6	0	0	1	16777215	-1	0	1	enable	Protocol	sets the wire parameters	UART
SERIAL DECODE OPTIONS	editnum	270	56	0	0	1	16777215	-1	0	1	enable	Baud Rate	0 = auto-detect	9600 Bd
SERIAL DECODE OPTIONS	editopt	270	106	0	0	1	16777215	-1	0	1	enable	Data Bits	auto, or fix it	8
SERIAL DECODE OPTIONS	editopt	270	156	0	0	1	16777215	-1	0	1	enable	Parity	auto or fixed	None
SERIAL DECODE OPTIONS	editopt	270	206	0	0	1	16777215	-1	0	1	enable	Polarity	idle level	Idle high
SERIAL DECODE OPTIONS	editopt	270	256	0	0	1	16777215	-1	0	1	enable	Trigger	capture start	Free run
SERIAL DECODE OPTIONS	editopt	270	306	0	0	1	16777215	-1	0	1	enable	Rear BNC	trig in / flow-control out	Off
SERIAL DECODE OPTIONS	button	22	360	200	0	1	16777215	-1	0	1	enable	Auto Detect
SERIAL DECODE OPTIONS	button	234	360	220	0	1	16777215	-1	0	1	enable	Lock Detected
SERIAL DECODE OPTIONS	button	466	360	150	0	1	16777215	-1	0	1	enable	Apply
SERIAL DECODE OPTIONS	button	628	360	150	0	1	16777215	-1	0	1	enable	Cancel
SERIAL DECODE - 32K CAPTURE	rect	4	338	788	1	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	4	360	788	1	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	4	338	1	22	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	792	338	1	22	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	462	338	1	22	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	656	338	1	22	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	4	1	788	1	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	4	35	788	1	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	4	51	788	1	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	4	1	1	50	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	792	1	1	50	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	103	35	1	16	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	48	64	1	269	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	452	64	1	269	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	106	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	179	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	232	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	325	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	408	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	481	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	564	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	627	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	670	1	1	34	1	4737096	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	text	8	14	0	0	1	7368816	-1	0	1	enable	BAUD
SERIAL DECODE - 32K CAPTURE	text	8	32	0	0	2	4259648	-1	0	1	enable	9600
SERIAL DECODE - 32K CAPTURE	text	115	14	0	0	1	7368816	-1	0	1	enable	FORMAT
SERIAL DECODE - 32K CAPTURE	text	115	32	0	0	2	4259648	-1	0	1	enable	8N1
SERIAL DECODE - 32K CAPTURE	text	188	14	0	0	1	7368816	-1	0	1	enable	IDLE
SERIAL DECODE - 32K CAPTURE	text	188	32	0	0	1	4259648	-1	0	1	enable	HIGH
SERIAL DECODE - 32K CAPTURE	text	241	14	0	0	1	7368816	-1	0	1	enable	LOGIC
SERIAL DECODE - 32K CAPTURE	text	241	32	0	0	1	16777215	-1	0	1	enable	3V3 CMOS
SERIAL DECODE - 32K CAPTURE	text	334	14	0	0	1	7368816	-1	0	1	enable	THRESH
SERIAL DECODE - 32K CAPTURE	text	334	32	0	0	1	16777215	-1	0	1	enable	1.65 V
SERIAL DECODE - 32K CAPTURE	text	417	14	0	0	1	7368816	-1	0	1	enable	SA/BIT
SERIAL DECODE - 32K CAPTURE	text	417	32	0	0	1	16777215	-1	0	1	enable	8.3
SERIAL DECODE - 32K CAPTURE	text	490	14	0	0	1	7368816	-1	0	1	enable	RATE
SERIAL DECODE - 32K CAPTURE	text	490	32	0	0	1	16777215	-1	0	1	enable	80 kS/s
SERIAL DECODE - 32K CAPTURE	text	573	14	0	0	1	7368816	-1	0	1	enable	BYTES
SERIAL DECODE - 32K CAPTURE	text	573	32	0	0	1	8454016	-1	0	1	enable	296
SERIAL DECODE - 32K CAPTURE	text	636	14	0	0	1	7368816	-1	0	1	enable	ERR
SERIAL DECODE - 32K CAPTURE	text	636	32	0	0	1	8454016	-1	0	1	enable	0
SERIAL DECODE - 32K CAPTURE	text	679	14	0	0	1	7368816	-1	0	1	enable	FIT
SERIAL DECODE - 32K CAPTURE	text	679	32	0	0	1	11579568	-1	0	1	enable	1.00
SERIAL DECODE - 32K CAPTURE	rect	97	14	5	1	1	4259648	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	97	15	1	4	1	4259648	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	101	15	1	4	1	4259648	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	rect	95	19	9	7	1	4259648	100	0	1	enable	
SERIAL DECODE - 32K CAPTURE	text	8	48	0	0	1	16776960	-1	0	1	enable	Free run
SERIAL DECODE - 32K CAPTURE	text	112	48	0	0	1	16760832	-1	0	1	enable	capture FULL at 252 bytes -- the message may continue
SERIAL DECODE - 32K CAPTURE	text	8	66	0	0	1	8421504	-1	0	1	enable	0000
SERIAL DECODE - 32K CAPTURE	text	64	66	0	0	1	16777215	-1	0	1	enable	4C 6F 72 65 6D 20 69 70
SERIAL DECODE - 32K CAPTURE	text	260	66	0	0	1	16777215	-1	0	1	enable	73 75 6D 20 64 6F 6C 6F
SERIAL DECODE - 32K CAPTURE	text	460	66	0	0	1	16777215	-1	0	1	enable	Lorem ipsum dolo
SERIAL DECODE - 32K CAPTURE	text	8	84	0	0	1	8421504	-1	0	1	enable	0016
SERIAL DECODE - 32K CAPTURE	text	64	84	0	0	1	16777215	-1	0	1	enable	72 20 73 69 74 20 61 6D
SERIAL DECODE - 32K CAPTURE	text	260	84	0	0	1	16777215	-1	0	1	enable	65 74 2C 20 63 6F 6E 73
SERIAL DECODE - 32K CAPTURE	text	460	84	0	0	1	16777215	-1	0	1	enable	r sit amet, cons
SERIAL DECODE - 32K CAPTURE	text	8	102	0	0	1	8421504	-1	0	1	enable	0032
SERIAL DECODE - 32K CAPTURE	text	64	102	0	0	1	16777215	-1	0	1	enable	65 63 74 65 74 75 72 20
SERIAL DECODE - 32K CAPTURE	text	260	102	0	0	1	16777215	-1	0	1	enable	61 64 69 70 69 73 63 69
